Time,Yaw,Roll,Pitch,Mot0_Enc,Mot1_Enc,Mot2_Enc,Aea0_Ref,Aea1_Ref,Aea2_Ref,Aea0_Err,Aea1_Err,Aea2_Err,Pid0_Out,Pid1_Out,Pid2_Out
4.29153e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0100651,0,0,0,0,0,0,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,88,10,-6
0.0201221,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,88,10,-6
0.03018,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,88,10,-6
0.0402935,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,89,10,-6
0.0503812,-0.060425,0.170289,0.263673,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,89,10,-6
0.0604422,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,89,10,-6
0.0705287,-0.060425,0.170289,0.263673,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,89,10,-6
0.080621,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,89,10,-6
0.0907078,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,90,10,-6
0.100795,-0.060425,0.170289,0.263673,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,90,10,-6
0.110877,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,90,10,-6
0.120932,-0.060425,0.170289,0.263673,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,90,10,-6
0.13102,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,90,10,-6
0.141115,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,91,10,-6
0.151202,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,91,10,-6
0.161258,-0.060425,0.170289,0.263673,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,91,10,-6
0.171318,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,91,10,-6
0.181376,-0.060425,0.170289,0.263673,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,91,10,-6
0.191435,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,92,10,-6
0.201493,-0.0714113,0.0823977,0.258179,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,92,10,-6
0.211579,-0.060425,0.170289,0.263673,30369.8,28004.7,26033.7,0.109864,-0.00549318,-0.109864,-0.0878908,0,0,92,10,-6
