Time,Yaw,Roll,Pitch,Mot0_Enc,Mot1_Enc,Mot2_Enc,Aea0_Ref,Aea1_Ref,Aea2_Ref,Aea0_Err,Aea1_Err,Aea2_Err,Pid0_Out,Pid1_Out,Pid2_Out
6.19888e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0101018,0,0,0,0,0,0,0,0,0,0,0,0,51,-82,-6
0.020185,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,53,-82,-7
0.0302718,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.040374,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.0504291,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.0604887,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.0705209,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.080606,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,53,-82,-8
0.0906649,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.100724,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.110784,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.120871,-0.0109864,0,0.0769045,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.130959,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.141046,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.151105,-0.0109864,0,0.0769045,30284.1,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.161162,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.171221,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.181278,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.191367,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.201448,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.211537,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.221623,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.231679,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.241787,0.00549318,-0.0274659,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0.0384522,53,-82,-28
0.251863,0.0109864,-0.0329591,0.0164795,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.261945,0.0109864,-0.0329591,0.0164795,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.271985,0.0109864,-0.0329591,0.0164795,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.282043,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.292098,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.302153,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.31221,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.322267,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.332356,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.342442,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.352531,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-6
0.362624,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.372712,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.382801,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.392898,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.402956,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.413039,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.423126,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.433213,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.443306,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.453397,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.463455,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.473542,-0.0109864,0,0.0769045,30275.5,27970.4,25973.7,0,0,0,0,0,0,53,-82,-8
0.483615,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.493672,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.503729,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.513787,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.523824,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.533912,-0.0109864,0,0.0769045,30275.5,27970.4,25973.7,0,0,0,0,0,0,53,-82,-8
0.543994,0.0109864,-0.0384522,0.115357,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-7
0.554052,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.564145,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,53,-82,-7
0.5742,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-7
0.58426,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-7
0.594347,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-7
0.604434,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.614524,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.62458,0.00549318,-0.0274659,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.634668,-0.0109864,0,0.0769045,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.644729,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.654817,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.664877,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.674963,0.0164795,-0.0384522,0.0219727,30275.5,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.68502,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.695107,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.705165,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.715224,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.725283,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.735373,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.745431,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.755524,-0.0109864,0,0.0769045,30284.1,27970.4,25973.7,0,0,0,0,0,0,53,-82,-8
0.765613,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.77567,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.785771,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,50,-82,-8
0.79583,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.805917,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.815998,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.826086,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.836144,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.846226,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.856312,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
0.866398,0.0164795,-0.0384522,0.0219727,30284.1,27970.4,25973.7,0,0,0,0,0,0,51,-82,-8
