Time,Yaw,Roll,Pitch,Mot0_Enc,Mot1_Enc,Mot2_Enc,Aea0_Ref,Aea1_Ref,Aea2_Ref,Aea0_Err,Aea1_Err,Aea2_Err,Pid0_Out,Pid1_Out,Pid2_Out
4.52995e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0100915,0,0,0,0,0,0,-2.20276,0.252686,0.10437,0.351563,0,0,4,-2,-18
0.0201788,1.14807,-2.1753,-2.05994,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,31,-2,-19
0.0302649,1.14807,-2.24671,-2.07642,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,6,-3,-18
0.0403199,1.14807,-2.24671,-2.07642,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,31,-3,-17
0.0504103,1.14807,-2.15333,-2.06543,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,32,-2,-18
0.0604668,1.14807,-2.16981,-2.07642,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,4,-2,-18
0.0705211,1.14258,-2.2577,-2.07093,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,31,-3,-18
0.0805759,1.14807,-2.24671,-2.07642,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,3,-3,-17
0.0906632,1.14807,-2.15333,-2.06543,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,28,-2,-18
0.100718,1.14807,-2.15333,-2.06543,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,0,-2,-19
0.110772,1.14258,-2.2577,-2.07642,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-1,-3,-18
0.120827,1.14258,-2.2577,-2.07093,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-4,-3,-18
0.130881,1.14258,-2.2522,-2.07093,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-2,-2,-19
0.140936,1.14807,-2.16981,-2.07642,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-6,-3,-18
0.150992,1.14258,-2.2522,-2.07093,7352.51,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-2,-2,-19
0.16108,1.14807,-2.15882,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,22,-3,-19
0.171167,1.12061,-2.12037,-2.02149,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-5,-2,-19
0.181222,1.12061,-2.12037,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,18,-3,-19
0.19128,1.1261,-2.10938,-2.10938,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-9,-2,-19
0.201336,1.14807,-2.15333,-2.06543,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-10,-3,-19
0.211391,1.14258,-2.24671,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-13,-2,-19
0.221472,1.14258,-2.2577,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-11,-3,-19
0.231527,1.12061,-2.12037,-2.02149,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,10,-2,-19
0.241608,1.09864,-2.08191,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-15,-2,-19
0.251693,1.14807,-2.24671,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-16,-3,-19
0.261782,1.14807,-2.16981,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-14,-2,-19
0.271838,1.14258,-2.2522,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,12,-2,-19
0.281924,1.14807,-2.16981,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,8,-3,-19
0.29201,1.14258,-2.2577,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-18,-2,-19
0.302095,1.14258,-2.2577,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-17,-3,-19
0.312153,1.14258,-2.2577,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-15,-3,-19
0.32221,1.12061,-2.12037,-2.02149,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-15,-3,-19
0.332298,1.12061,-2.12037,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,7,-2,-19
0.34238,1.12061,-2.11487,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,2,-2,-19
0.35247,1.14258,-2.2522,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-24,-2,-19
0.362557,1.11512,-2.20826,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-2,-2,-19
0.372612,1.14807,-2.16981,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-27,-3,-19
0.382699,1.11512,-2.21375,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-2,-2,-19
0.392753,1.14258,-2.2522,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-3,-2,-19
0.402811,1.12061,-2.12037,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-31,-3,-19
0.412868,1.14807,-2.14783,-2.06543,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-29,-3,-19
0.422925,1.14807,-2.15333,-2.06543,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-3,-2,-19
0.432983,1.12061,-2.12037,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-3,-2,-19
0.443039,1.11512,-2.21375,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-7,-2,-19
0.453096,1.11512,-2.21924,-2.03248,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-7,-2,-19
0.463153,1.14807,-2.24671,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-33,-2,-19
0.473209,1.14807,-2.16981,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-34,-3,-19
0.483266,1.11512,-2.20826,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-9,-2,-19
0.493321,1.12061,-2.12037,-2.02149,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-34,-3,-19
0.50338,1.14807,-2.15882,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-31,-3,-19
0.513436,1.14807,-2.15882,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-6,-2,-19
0.52352,1.14258,-2.26319,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-32,-3,-19
0.533616,1.14807,-2.15333,-2.06543,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-32,-3,-19
0.543673,1.12061,-2.12037,-2.02149,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-8,-3,-19
0.55373,1.14807,-2.15882,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-36,-3,-19
0.563787,1.14807,-2.14783,-2.06543,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-37,-2,-19
0.573874,1.14807,-2.15333,-2.06543,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-36,-3,-19
0.58396,1.11512,-2.19727,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-36,-2,-19
0.59404,1.12061,-2.11487,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-40,-3,-19
0.604098,1.14807,-2.15882,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-15,-3,-19
0.614155,1.14807,-2.24671,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-42,-2,-19
0.624242,1.11512,-2.21924,-2.03797,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-15,-2,-19
0.634328,1.14258,-2.2577,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-43,-2,-19
0.644418,1.15357,-2.18079,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-18,-3,-19
0.654476,1.12061,-2.12037,-2.02149,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-20,-3,-19
0.664562,1.14807,-2.15882,-2.07093,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-21,-2,-19
0.67465,1.14807,-2.16981,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-21,-3,-19
0.684741,1.14807,-2.15882,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-21,-2,-19
0.694828,1.14807,-2.15882,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-48,-2,-19
0.704883,1.1261,-2.11487,-2.03248,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-49,-2,-19
0.714939,1.14258,-2.24671,-2.07642,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-53,-2,-19
0.725025,1.11512,-2.19727,-2.02698,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.351563,0,0,-53,-3,-19
0.735119,1.11512,-2.21924,-2.03248,7361.08,1019.75,308.497,-2.20276,0.252686,0.10437,0.302125,0,0,-30,-2,-19
